n_matrix,iteration,checksym_time,transpose_time
1024,35,0.0110645,0.0195061
1024,36,0.0122417,0.0304656
1024,37,0.0102531,0.0211781
1024,38,0.0112426,0.0212442
1024,39,0.0115243,0.0233913
1024,40,0.0130173,0.0243392
1024,41,0.0109626,0.0195531
1024,42,0.025145,0.0511954
1024,43,0.02554,0.0536425
1024,44,0.0115227,0.0417626
1024,45,0.0250096,0.0358555
1024,46,0.0260282,0.0713004
1024,47,0.0112421,0.0275143
1024,48,0.0113114,0.0206248
1024,49,0.0252731,0.0514891
1024,50,0.0248903,0.0480482
1024,51,0.0254959,0.0725671
1024,52,0.0111456,0.0254694
1024,53,0.0131481,0.0234796
1024,54,0.0117325,0.0233083
1024,55,0.0111341,0.0215866
1024,56,0.0109751,0.0214148
1024,57,0.0249879,0.0515248
1024,58,0.0110896,0.017828
1024,59,0.0266529,0.0515316
1024,60,0.0123566,0.0302164
1024,61,0.014007,0.021246
1024,62,0.0113269,0.0215979
1024,63,0.0249075,0.0489952
1024,64,0.0250862,0.0501497
1024,65,0.0111794,0.022383
1024,66,0.0114511,0.0224525
1024,67,0.0256944,0.0726608
1024,68,0.0108135,0.0300879
1024,69,0.0257149,0.0733304
1024,70,0.0111388,0.0248289
1024,71,0.0112371,0.0206707
1024,72,0.0121761,0.0321894
1024,73,0.0110451,0.0238145
1024,74,0.0101636,0.0192311
1024,75,0.0109157,0.0208478
1024,76,0.011122,0.0207701
1024,77,0.0113527,0.0349258
1024,78,0.0249294,0.0491255
1024,79,0.0220456,0.0494714
1024,80,0.0255252,0.052477
1024,81,0.0113813,0.0322598
1024,82,0.0250275,0.0509249
1024,83,0.0251275,0.0371985
1024,84,0.010951,0.0167368
1024,85,0.0114709,0.0310249
1024,86,0.0110206,0.0272747
1024,87,0.0113997,0.0220296
1024,88,0.0199089,0.0275623
1024,89,0.0111537,0.0325358
1024,90,0.0125712,0.0223014
1024,91,0.0258318,0.0610458
1024,92,0.0111139,0.0217031
1024,93,0.024947,0.0498003
1024,94,0.0255725,0.0500338
1024,95,0.0102181,0.0287181
1024,96,0.0110361,0.0197119
1024,97,0.0111146,0.0199123
1024,98,0.0130027,0.023656
1024,99,0.0119808,0.0190308
1024,100,0.011775,0.0191552
2048,1,0.0520862,0.139523
2048,2,0.0490532,0.107151
2048,3,0.0492355,0.105051
2048,4,0.0493136,0.103664
2048,5,0.0488546,0.0792328
2048,6,0.124422,0.223956
2048,7,0.0485494,0.100874
2048,8,0.0496403,0.0934143
2048,9,0.105899,0.264297
2048,10,0.0755713,0.140646
2048,11,0.0492397,0.101662
2048,12,0.0496786,0.138747
2048,13,0.0484081,0.106041
2048,14,0.0938902,0.227938
2048,15,0.050748,0.128374
2048,16,0.0488357,0.103877
2048,17,0.0513934,0.143012
2048,18,0.0500087,0.237863
2048,19,0.0502289,0.130373
2048,20,0.0489773,0.0914063
2048,21,0.0484918,0.129541
2048,22,0.0494988,0.105259
2048,23,0.0495086,0.10143
2048,24,0.0493264,0.0981709
2048,25,0.0480646,0.109932
2048,26,0.108499,0.197909
2048,27,0.0384389,0.0722044
2048,28,0.0855853,0.0849935
2048,29,0.0422429,0.106283
2048,30,0.0490145,0.102418
2048,31,0.0493285,0.0989649
2048,32,0.0890975,0.21136
2048,33,0.0624761,0.122831
2048,34,0.0485944,0.0907646
2048,35,0.0489865,0.105782
2048,36,0.0496151,0.119851
2048,37,0.10222,0.221102
2048,38,0.0492081,0.126838
2048,39,0.0470145,0.07594
2048,40,0.0478614,0.100498
2048,41,0.0482758,0.0902169
2048,42,0.0520883,0.150267
2048,43,0.0520803,0.145409
2048,44,0.0535922,0.110863
2048,45,0.0492473,0.0943772
2048,46,0.0516788,0.143676
2048,47,0.0467859,0.105918
2048,48,0.0482722,0.0922483
2048,49,0.0503447,0.141136
2048,50,0.051677,0.107757
2048,51,0.0477478,0.0884169
2048,52,0.05096,0.103069
2048,53,0.048415,0.100777
2048,54,0.048846,0.126144
2048,55,0.0496644,0.130082
2048,56,0.0509972,0.14784
2048,57,0.048072,0.104692
2048,58,0.0488254,0.111094
2048,59,0.050978,0.135581
2048,60,0.0875403,0.223683
2048,61,0.103672,0.281734
2048,62,0.05148,0.140024
2048,63,0.0489785,0.108797
2048,64,0.0483221,0.10102
2048,65,0.0521074,0.136225
2048,66,0.0482805,0.115327
2048,67,0.0501588,0.106643
2048,68,0.0516278,0.106153
2048,69,0.0446978,0.07842
2048,70,0.103395,0.283607
2048,71,0.0357939,0.0631145
2048,72,0.0338595,0.0757034
2048,73,0.10138,0.210501
2048,74,0.103233,0.227799
2048,75,0.101312,0.213472
2048,76,0.042062,0.115246
2048,77,0.0504894,0.137184
2048,78,0.0505697,0.138461
2048,79,0.0494998,0.102831
2048,80,0.0480167,0.101415
2048,81,0.0504831,0.130901
2048,82,0.0484806,0.102042
2048,83,0.051213,0.140413
2048,84,0.0505285,0.137343
2048,85,0.0482724,0.141883
2048,86,0.0481612,0.107699
2048,87,0.051536,0.133263
2048,88,0.0484765,0.130956
2048,89,0.0510714,0.136456
2048,90,0.0505775,0.140848
2048,91,0.0433659,0.0809763
2048,92,0.102773,0.266023
2048,93,0.0492688,0.101879
2048,94,0.0486748,0.103729
2048,95,0.0485669,0.133088
2048,96,0.0505891,0.137361
2048,97,0.048201,0.127967
